LocationID,AccountID,PolicyID,Region,State,PostalCode,Latitude,Longitude,HazardZoneID,Occupancy,ConstructionCode,YearBuilt,NumberOfStories,BuildingTIV_USD,ContentsTIV_USD,BusinessInterruptionTIV_USD,TotalTIV_USD
LOC000021,ACC0034,POL00344,East,VA,94607,39.72953,-77.3292,HZ-E-13,Industrial,CONCRETE,1990,3,1193730,448362,702258,2344350
LOC000022,ACC0090,POL00036,North,PA,42018,42.68817,-74.94115,HZ-N-05,Industrial,STEEL,1970,15,2461366,229675,76819,2767860
LOC000023,ACC0035,POL00136,Central,OK,25129,41.01077,-91.68097,HZ-C-04,Residential,MASONRY,1984,10,1368848,1129269,8203,2506320
LOC000024,ACC0065,POL00027,East,NC,22097,39.0739,-77.15211,HZ-E-16,Hospitality,STEEL,1955,1,1538144,446974,720892,2706010
LOC000025,ACC0144,POL00005,South,FL,24663,31.67108,-88.96639,HZ-S-14,Residential,MASONRY,2019,2,2772247,569360,169430,3511037
LOC000026,ACC0092,POL00108,Central,OK,99399,36.14701,-95.37612,HZ-C-02,Commercial,WOOD,1995,18,2417458,330575,450664,3198697
LOC000027,ACC0106,POL00013,Central,MO,33509,42.78145,-85.35691,HZ-C-06,Industrial,CONCRETE,1981,9,2703243,344121,248237,3295601
LOC000028,ACC0090,POL00157,North,PA,39831,44.29297,-77.77566,HZ-N-15,Commercial,WOOD,1974,13,553385,822248,40605,1416238
LOC000029,ACC0085,POL00015,South,FL,25118,30.77334,-92.00643,HZ-S-18,Industrial,MASONRY,2024,9,3343567,605367,368203,4317137
LOC000030,ACC0030,POL00198,North,PA,85574,43.93214,-75.63606,HZ-N-17,Commercial,STEEL,1955,14,1922692,744958,763934,3431584
LOC000031,ACC0160,POL00161,North,PA,96951,42.15649,-70.51126,HZ-N-11,Residential,STEEL,2014,10,2980887,433212,381913,3796012
LOC000032,ACC0174,POL00090,West,OR,90676,34.0366,-120.21598,HZ-W-13,Industrial,CONCRETE,2020,1,1787789,640033,581343,3009165
LOC000033,ACC0122,POL00087,South,FL,96356,28.97607,-86.48746,HZ-S-17,Residential,STEEL,2015,20,1903081,695805,487575,3086461
LOC000034,ACC0063,POL00244,South,FL,90120,32.25907,-97.05292,HZ-S-02,Residential,CONCRETE,2003,19,2921909,670996,235552,3828457
LOC000035,ACC0028,POL00218,South,LA,38683,27.19586,-86.87884,HZ-S-01,Commercial,CONCRETE,1956,18,1710522,1056784,419066,3186372
LOC000036,ACC0082,POL00227,South,FL,90301,31.0082,-80.24215,HZ-S-20,Hospitality,CONCRETE,1970,16,2014539,299632,487213,2801384
LOC000037,ACC0020,POL00147,East,NJ,40735,37.87678,-77.32528,HZ-E-15,Industrial,STEEL,1990,18,3622640,601564,546622,4770826
LOC000038,ACC0105,POL00170,North,NY,81121,40.76403,-77.86047,HZ-N-14,Hospitality,CONCRETE,1957,7,1069980,823283,727659,2620922
LOC000039,ACC0077,POL00200,Central,MO,64921,38.42343,-99.91156,HZ-C-12,Commercial,CONCRETE,1978,9,3895167,60961,603655,4559783
LOC000040,ACC0120,POL00066,East,NJ,91560,39.43314,-76.16978,HZ-E-06,Residential,CONCRETE,2025,19,1730985,724914,701364,3157263
LOC000041,ACC0098,POL00168,West,CA,37742,45.86962,-122.36444,HZ-W-09,Hospitality,STEEL,1993,13,2795887,918866,142291,3857044
LOC000042,ACC0058,POL00333,South,TX,18993,25.17445,-89.21162,HZ-S-12,Residential,WOOD,1981,7,1158103,191769,493152,1843024
LOC000043,ACC0120,POL00132,Central,OK,58351,39.26205,-98.28416,HZ-C-07,Commercial,WOOD,1970,10,739137,520265,132352,1391754
LOC000044,ACC0051,POL00039,North,NY,87607,43.38674,-70.41827,HZ-N-13,Commercial,WOOD,1988,20,3996035,674221,603766,5274022
LOC000045,ACC0130,POL00332,West,WA,54725,40.52392,-118.04631,HZ-W-03,Residential,CONCRETE,2012,4,3382610,106128,364069,3852807
LOC000046,ACC0167,POL00139,East,VA,90728,35.22393,-77.76704,HZ-E-17,Hospitality,CONCRETE,2005,19,2765837,984143,741666,4491646
LOC000047,ACC0146,POL00313,South,FL,97580,32.93468,-95.12273,HZ-S-15,Hospitality,STEEL,1953,16,3584338,201745,292477,4078560
LOC000048,ACC0180,POL00142,Central,IL,82848,42.18049,-94.89492,HZ-C-20,Residential,MASONRY,1960,8,2144932,464847,372060,2981839
LOC000049,ACC0005,POL00048,West,OR,48566,39.61749,-117.59342,HZ-W-15,Commercial,CONCRETE,1981,10,2428577,523995,724156,3676728
LOC000050,ACC0085,POL00181,West,OR,69473,37.50012,-115.03032,HZ-W-18,Industrial,STEEL,1982,8,2084998,1180716,556711,3822425
LOC000051,ACC0050,POL00111,North,NY,73464,42.67932,-72.3781,HZ-N-06,Industrial,STEEL,1962,7,1423504,270724,778967,2473195
LOC000052,ACC0014,POL00284,South,TX,48290,31.37217,-97.46834,HZ-S-02,Commercial,CONCRETE,1963,1,852632,653901,14835,1521368
LOC000053,ACC0030,POL00034,East,VA,62521,35.47491,-78.64036,HZ-E-16,Hospitality,WOOD,2023,2,2107872,943730,357256,3408858
LOC000054,ACC0153,POL00317,North,PA,39581,40.59226,-72.35557,HZ-N-20,Hospitality,CONCRETE,2006,10,1374378,198637,260247,1833262
LOC000055,ACC0161,POL00109,Central,MO,44687,43.64098,-98.5115,HZ-C-07,Residential,MASONRY,1980,6,1380857,146312,639244,2166413
LOC000056,ACC0060,POL00148,East,NJ,47056,39.51497,-75.71061,HZ-E-02,Hospitality,WOOD,1979,9,111222,876723,472387,1460332
LOC000057,ACC0069,POL00073,West,WA,19359,33.83642,-121.97671,HZ-W-05,Residential,MASONRY,1989,20,2573756,434856,445790,3454402
LOC000058,ACC0070,POL00257,West,WA,80776,33.98966,-117.8019,HZ-W-13,Hospitality,CONCRETE,1960,20,3963761,625260,460485,5049506
LOC000059,ACC0151,POL00011,North,MA,98117,41.25184,-79.08673,HZ-N-19,Industrial,WOOD,1972,16,3180858,695957,633039,4509854
LOC000060,ACC0024,POL00241,East,VA,55607,41.97556,-75.94881,HZ-E-16,Hospitality,STEEL,1991,4,3942287,603336,190305,4735928
LOC000061,ACC0010,POL00233,Central,MO,21542,40.96325,-93.99322,HZ-C-18,Industrial,STEEL,1991,4,1826564,1059073,302218,3187855
LOC000062,ACC0014,POL00097,Central,MO,77952,40.91894,-91.8611,HZ-C-14,Industrial,CONCRETE,2006,2,3727697,1099186,1206,4828089
LOC000063,ACC0162,POL00312,South,LA,41365,32.92762,-90.30576,HZ-S-01,Commercial,STEEL,2020,1,649509,624040,459398,1732947
LOC000064,ACC0128,POL00150,East,NJ,76698,41.57649,-74.46603,HZ-E-05,Industrial,CONCRETE,2011,16,1042462,257945,483863,1784270
LOC000065,ACC0018,POL00142,South,LA,64387,33.29681,-89.83518,HZ-S-05,Industrial,STEEL,1950,10,706672,824438,199869,1730979
LOC000066,ACC0142,POL00279,West,WA,59441,39.14476,-119.64093,HZ-W-11,Hospitality,STEEL,1974,8,2532374,1046850,155813,3735037
LOC000067,ACC0099,POL00340,East,NJ,95461,36.54541,-75.68917,HZ-E-13,Commercial,CONCRETE,1954,5,3690378,881457,45767,4617602
LOC000068,ACC0037,POL00210,East,NC,95823,34.79769,-72.62691,HZ-E-01,Commercial,WOOD,2010,9,1492486,230479,461694,2184659
LOC000069,ACC0082,POL00321,South,LA,73956,32.67107,-82.81316,HZ-S-13,Residential,WOOD,1980,10,1767165,188433,344525,2300123
LOC000070,ACC0114,POL00086,Central,OK,49251,41.84333,-89.44164,HZ-C-04,Residential,WOOD,1991,2,479078,930104,103225,1512407
LOC000071,ACC0044,POL00090,South,TX,20350,29.7805,-88.68144,HZ-S-06,Hospitality,MASONRY,2013,19,1906431,325281,256059,2487771
LOC000072,ACC0074,POL00347,North,MA,81643,41.27663,-79.90603,HZ-N-15,Commercial,WOOD,2006,12,2775565,552629,481894,3810088
LOC000073,ACC0099,POL00248,Central,MO,23979,37.25088,-87.32044,HZ-C-07,Commercial,CONCRETE,2023,12,2779903,909840,723846,4413589
LOC000074,ACC0156,POL00255,East,NC,47512,37.16645,-78.94331,HZ-E-02,Commercial,STEEL,1978,7,1338287,66010,690203,2094500
LOC000075,ACC0080,POL00226,East,NC,14373,34.77731,-74.60779,HZ-E-02,Industrial,MASONRY,1961,10,3269120,306846,658765,4234731
LOC000076,ACC0136,POL00257,South,TX,45720,32.07862,-82.47079,HZ-S-12,Commercial,STEEL,2011,10,836687,441097,138579,1416363
LOC000077,ACC0174,POL00346,West,OR,62089,47.40629,-122.73319,HZ-W-08,Industrial,WOOD,2000,1,3473195,261528,491081,4225804
LOC000078,ACC0164,POL00191,South,FL,24201,31.7411,-94.75677,HZ-S-13,Commercial,CONCRETE,1953,20,2007510,792980,705511,3506001
LOC000079,ACC0167,POL00210,Central,OK,25292,35.56895,-87.64217,HZ-C-10,Commercial,WOOD,1954,10,1475758,484240,679112,2639110
LOC000080,ACC0108,POL00301,Central,IL,30253,36.22098,-93.19534,HZ-C-18,Hospitality,WOOD,2012,20,507652,512411,563658,1583721
LOC000081,ACC0026,POL00189,East,VA,81364,37.54706,-72.34611,HZ-E-12,Industrial,WOOD,2000,9,237222,797057,227823,1262102
LOC000082,ACC0006,POL00026,South,FL,53713,30.96492,-87.16591,HZ-S-20,Commercial,MASONRY,2022,7,3656908,973611,96126,4726645
LOC000083,ACC0001,POL00142,North,PA,28964,41.6428,-78.52446,HZ-N-20,Commercial,STEEL,1972,4,968880,472882,244316,1686078
LOC000084,ACC0005,POL00090,West,CA,44782,44.63975,-121.85862,HZ-W-11,Residential,MASONRY,2003,17,652822,51164,375644,1079630
LOC000085,ACC0057,POL00315,North,NY,15683,42.56619,-78.90946,HZ-N-17,Industrial,CONCRETE,1953,2,2097520,960101,379625,3437246
LOC000086,ACC0083,POL00312,Central,MO,29442,41.41161,-93.34657,HZ-C-03,Residential,MASONRY,1985,20,1887921,246412,514084,2648417
LOC000087,ACC0130,POL00310,East,NC,66387,41.95702,-75.2861,HZ-E-15,Residential,WOOD,2020,7,3086985,701963,399407,4188355
LOC000088,ACC0110,POL00161,East,NJ,97177,37.18984,-73.89271,HZ-E-11,Industrial,STEEL,1969,16,1835659,730791,475528,3041978
LOC000089,ACC0143,POL00031,North,NY,86869,43.72294,-76.27353,HZ-N-05,Industrial,WOOD,2002,12,491035,925710,101255,1518000
LOC000090,ACC0130,POL00109,Central,MO,30280,40.40369,-94.72531,HZ-C-19,Hospitality,MASONRY,1963,12,3741042,127890,301601,4170533
LOC000091,ACC0160,POL00315,Central,MO,98470,37.03543,-93.56331,HZ-C-18,Residential,STEEL,1953,6,581863,604199,601987,1788049
LOC000092,ACC0169,POL00206,South,TX,19120,25.05495,-82.60275,HZ-S-19,Commercial,WOOD,1961,17,3965208,732663,368074,5065945
LOC000093,ACC0153,POL00044,South,TX,16895,28.33048,-85.56808,HZ-S-19,Commercial,MASONRY,1956,3,2002728,734910,165055,2902693
LOC000094,ACC0030,POL00177,South,LA,66349,28.9784,-94.53666,HZ-S-17,Residential,STEEL,2025,16,1878446,1038506,636565,3553517
LOC000095,ACC0078,POL00109,East,VA,27987,41.87557,-78.61653,HZ-E-07,Industrial,STEEL,1991,4,290494,482460,414463,1187417
LOC000096,ACC0144,POL00343,North,PA,56421,41.90104,-72.96329,HZ-N-17,Residential,CONCRETE,1955,14,1906298,388458,135461,2430217
LOC000097,ACC0075,POL00059,North,NY,63088,42.14642,-75.95577,HZ-N-14,Residential,STEEL,1971,20,3715951,676535,603727,4996213
LOC000098,ACC0151,POL00206,East,NC,78676,37.49369,-78.25896,HZ-E-14,Residential,CONCRETE,1989,11,3957793,778860,92410,4829063
LOC000099,ACC0090,POL00331,South,FL,29358,26.02624,-89.80096,HZ-S-12,Commercial,WOOD,1968,9,420358,1090561,663984,2174903
LOC000100,ACC0145,POL00297,South,LA,68838,33.56163,-87.44102,HZ-S-15,Industrial,STEEL,1969,15,741182,178027,185751,1104960
LOC000101,ACC0080,POL00237,North,MA,69233,42.9571,-76.48058,HZ-N-03,Residential,WOOD,1997,10,2748221,655060,288016,3691297
LOC000102,ACC0116,POL00293,North,NY,95437,42.31356,-74.45684,HZ-N-02,Commercial,STEEL,2010,17,2679532,1083398,403159,4166089
LOC000103,ACC0011,POL00127,North,NY,67377,44.91193,-79.15671,HZ-N-06,Hospitality,MASONRY,1996,12,1989630,237059,360120,2586809
LOC000104,ACC0017,POL00169,Central,MO,22387,40.38097,-88.1616,HZ-C-11,Hospitality,STEEL,1982,20,1814503,729607,711875,3255985
LOC000105,ACC0034,POL00305,Central,MO,21104,37.79209,-90.15918,HZ-C-13,Industrial,CONCRETE,1992,5,441844,316596,366813,1125253
LOC000106,ACC0005,POL00186,West,WA,50483,42.3364,-120.18934,HZ-W-12,Commercial,MASONRY,1993,16,2974836,1123926,97992,4196754
LOC000107,ACC0135,POL00020,South,FL,96760,32.59986,-97.97718,HZ-S-18,Industrial,MASONRY,1998,5,749887,181826,310160,1241873
LOC000108,ACC0114,POL00313,South,LA,47346,28.93906,-91.78283,HZ-S-08,Hospitality,MASONRY,2018,8,3334218,367160,756215,4457593
LOC000109,ACC0119,POL00145,South,TX,60052,31.10476,-88.59161,HZ-S-15,Hospitality,MASONRY,1975,20,3891543,426881,385709,4704133
LOC000110,ACC0032,POL00146,North,MA,20993,42.7727,-78.9741,HZ-N-17,Commercial,STEEL,2007,17,318857,1027871,389244,1735972
LOC000111,ACC0014,POL00203,North,MA,75799,44.42315,-70.69528,HZ-N-14,Industrial,MASONRY,1999,3,484674,485647,473041,1443362
LOC000112,ACC0010,POL00147,East,NJ,71925,39.19969,-73.46034,HZ-E-05,Commercial,CONCRETE,2007,20,1436661,227792,749421,2413874
LOC000113,ACC0136,POL00217,North,NY,24573,44.17482,-74.51196,HZ-N-20,Industrial,MASONRY,1988,4,179708,556711,226130,962549
LOC000114,ACC0138,POL00009,North,MA,92831,40.55429,-70.94853,HZ-N-20,Commercial,MASONRY,1987,14,2779957,978636,65858,3824451
LOC000115,ACC0018,POL00270,North,MA,81313,43.32186,-79.14386,HZ-N-12,Residential,CONCRETE,2010,2,1108999,893605,196412,2199016
LOC000116,ACC0149,POL00171,East,VA,27486,40.30816,-76.58638,HZ-E-04,Residential,STEEL,2019,11,1163886,54062,374440,1592388
LOC000117,ACC0017,POL00235,West,CA,14847,39.6565,-122.3595,HZ-W-05,Industrial,MASONRY,1955,7,3582881,994384,729168,5306433
LOC000118,ACC0010,POL00332,Central,MO,35048,43.9021,-91.85454,HZ-C-09,Industrial,STEEL,1956,11,1400552,1100837,417568,2918957
LOC000119,ACC0048,POL00255,South,TX,75211,28.95763,-80.87043,HZ-S-11,Industrial,STEEL,1960,14,1932706,858906,779414,3571026
LOC000120,ACC0170,POL00152,North,PA,50173,41.46883,-78.97402,HZ-N-11,Hospitality,CONCRETE,1971,15,3549149,398444,571971,4519564
LOC000121,ACC0020,POL00344,South,FL,93560,33.98336,-94.50889,HZ-S-02,Hospitality,STEEL,2015,6,3148480,759370,644718,4552568
LOC000122,ACC0093,POL00197,Central,IL,84349,36.13607,-96.46007,HZ-C-12,Residential,MASONRY,2007,12,3659577,938915,36489,4634981
LOC000123,ACC0064,POL00059,East,NJ,13396,36.9356,-76.7993,HZ-E-09,Commercial,CONCRETE,2016,13,2507202,308767,555178,3371147
LOC000124,ACC0178,POL00252,Central,IL,36237,39.01646,-85.05452,HZ-C-10,Residential,MASONRY,1959,15,1197970,565867,738237,2502074
LOC000125,ACC0017,POL00282,South,LA,81063,33.70805,-80.26851,HZ-S-12,Industrial,STEEL,1970,6,1966931,204110,715054,2886095
LOC000126,ACC0007,POL00185,West,WA,82616,44.67305,-121.86937,HZ-W-16,Industrial,CONCRETE,2020,5,1040537,274515,210743,1525795
LOC000127,ACC0106,POL00210,East,NJ,85353,41.99676,-73.96791,HZ-E-17,Residential,MASONRY,1990,3,375767,668629,417500,1461896
LOC000128,ACC0047,POL00067,East,NC,66704,41.02368,-73.53816,HZ-E-19,Residential,WOOD,2016,5,2269965,742499,134568,3147032
LOC000129,ACC0021,POL00129,South,FL,35729,33.52735,-89.62204,HZ-S-10,Industrial,MASONRY,1988,20,1453337,492845,362831,2309013
LOC000130,ACC0155,POL00173,East,NC,83874,41.53286,-77.92064,HZ-E-20,Residential,WOOD,1960,2,2788496,373655,620556,3782707
LOC000131,ACC0161,POL00280,Central,OK,47967,38.74928,-90.41513,HZ-C-16,Industrial,CONCRETE,1981,13,1210047,462097,599929,2272073
LOC000132,ACC0088,POL00311,South,FL,28830,28.95645,-90.31498,HZ-S-07,Industrial,STEEL,1994,13,2988254,145646,165759,3299659
LOC000133,ACC0116,POL00127,North,MA,28465,41.59558,-75.33527,HZ-N-09,Residential,WOOD,1987,13,2259983,1197867,111341,3569191
LOC000134,ACC0041,POL00256,Central,MO,77466,43.40376,-89.18307,HZ-C-07,Hospitality,CONCRETE,1989,16,1141321,354914,343341,1839576
LOC000135,ACC0073,POL00254,North,MA,88317,41.07572,-76.47105,HZ-N-02,Hospitality,STEEL,2018,1,2219987,978882,252422,3451291
LOC000136,ACC0103,POL00027,Central,MO,84747,38.292,-93.95119,HZ-C-02,Commercial,STEEL,2020,10,661763,574639,762847,1999249
LOC000137,ACC0031,POL00066,North,PA,22672,44.12656,-73.76758,HZ-N-20,Hospitality,STEEL,1993,18,1988923,1173133,293308,3455364
LOC000138,ACC0086,POL00243,Central,IL,78069,39.5007,-99.32045,HZ-C-05,Hospitality,MASONRY,2015,5,934909,1087707,420884,2443500
LOC000139,ACC0152,POL00173,South,LA,76494,33.91554,-85.21361,HZ-S-10,Hospitality,STEEL,2010,1,1436011,360791,412042,2208844
LOC000140,ACC0153,POL00243,East,NC,44803,36.46142,-72.70863,HZ-E-01,Commercial,WOOD,2024,16,559714,893548,612056,2065318
LOC000141,ACC0180,POL00057,South,LA,35006,32.39495,-95.15607,HZ-S-19,Residential,CONCRETE,1990,14,3124860,817316,154954,4097130
LOC000142,ACC0036,POL00266,North,PA,37176,43.87486,-70.79479,HZ-N-02,Industrial,CONCRETE,2017,13,955183,880623,526195,2362001
LOC000143,ACC0157,POL00248,South,FL,35200,29.91646,-86.48263,HZ-S-09,Commercial,STEEL,2021,10,2027968,1138048,358955,3524971
LOC000144,ACC0123,POL00179,South,TX,83464,26.8655,-85.90023,HZ-S-11,Industrial,STEEL,1965,19,3334539,626085,739142,4699766
LOC000145,ACC0011,POL00148,West,OR,20358,47.27374,-116.75846,HZ-W-10,Industrial,CONCRETE,1982,16,3857091,847394,361899,5066384
LOC000146,ACC0062,POL00125,South,LA,16653,27.44459,-97.81547,HZ-S-19,Commercial,MASONRY,1956,4,1237213,1198637,729988,3165838
LOC000147,ACC0041,POL00209,East,NC,95575,40.16613,-78.96373,HZ-E-18,Hospitality,CONCRETE,1975,10,2081405,230857,714281,3026543
LOC000148,ACC0045,POL00214,South,LA,33040,30.1672,-89.29695,HZ-S-02,Residential,CONCRETE,2013,6,348145,207612,683984,1239741
LOC000149,ACC0073,POL00233,Central,MO,94058,37.68553,-90.95826,HZ-C-11,Hospitality,MASONRY,2014,15,3777327,98572,9717,3885616
LOC000150,ACC0004,POL00173,South,FL,48669,29.13023,-94.8547,HZ-S-06,Commercial,MASONRY,2001,14,1486989,360775,766634,2614398
LOC000151,ACC0002,POL00134,East,NJ,60275,41.85348,-75.65782,HZ-E-08,Commercial,CONCRETE,1984,11,1781216,220037,193757,2195010
LOC000152,ACC0171,POL00061,South,LA,71000,30.88315,-86.14463,HZ-S-02,Industrial,MASONRY,2001,17,2502821,43982,274258,2821061
LOC000153,ACC0095,POL00315,Central,OK,38947,36.05674,-86.25804,HZ-C-10,Commercial,MASONRY,2011,5,3328947,672168,723821,4724936
LOC000154,ACC0171,POL00112,East,NC,42435,38.39388,-75.7042,HZ-E-18,Residential,CONCRETE,2017,12,1667096,892091,736038,3295225
LOC000155,ACC0039,POL00085,North,PA,53007,44.51444,-77.97843,HZ-N-18,Hospitality,WOOD,1976,19,570637,149516,574251,1294404
LOC000156,ACC0015,POL00287,East,NC,70604,35.05555,-76.09203,HZ-E-19,Industrial,WOOD,2000,9,1968489,136676,475458,2580623
LOC000157,ACC0016,POL00036,West,WA,71875,38.77916,-117.69654,HZ-W-18,Residential,STEEL,2002,6,1013944,173154,47489,1234587
LOC000158,ACC0097,POL00042,West,WA,99486,47.88571,-120.55768,HZ-W-13,Commercial,STEEL,1965,6,3158861,901562,392650,4453073
LOC000159,ACC0077,POL00238,Central,MO,98276,43.80852,-87.47768,HZ-C-01,Hospitality,CONCRETE,1979,8,2318126,287066,763214,3368406
LOC000160,ACC0158,POL00009,East,NJ,41544,40.12392,-78.77448,HZ-E-14,Commercial,WOOD,1962,20,1256158,415272,760242,2431672
LOC000161,ACC0139,POL00112,North,PA,17398,43.70271,-75.97735,HZ-N-08,Commercial,STEEL,1979,19,2918671,122081,256622,3297374
LOC000162,ACC0057,POL00212,South,LA,49387,27.71588,-97.13479,HZ-S-17,Industrial,WOOD,2021,19,3340260,692483,248411,4281154
LOC000163,ACC0135,POL00164,Central,IL,64568,39.46059,-85.41565,HZ-C-13,Hospitality,MASONRY,1988,13,2725605,915904,582851,4224360
LOC000164,ACC0015,POL00288,South,LA,64090,27.70663,-85.84846,HZ-S-15,Hospitality,MASONRY,1999,8,2086081,525346,236290,2847717
LOC000165,ACC0014,POL00138,South,TX,59436,32.6242,-98.15072,HZ-S-07,Residential,WOOD,1974,19,2812480,185822,471635,3469937
LOC000166,ACC0055,POL00098,West,WA,25376,45.91158,-121.00332,HZ-W-01,Hospitality,MASONRY,1976,13,1010233,1025362,219036,2254631
LOC000167,ACC0067,POL00185,Central,OK,77215,39.19625,-90.26918,HZ-C-10,Hospitality,CONCRETE,1962,16,1448951,613618,399152,2461721
LOC000168,ACC0038,POL00009,West,OR,44180,37.00675,-123.58856,HZ-W-08,Hospitality,STEEL,1969,7,3934980,445989,388712,4769681
LOC000169,ACC0066,POL00251,South,TX,94108,29.95578,-81.13071,HZ-S-11,Hospitality,CONCRETE,1971,12,2489870,535333,523555,3548758
LOC000170,ACC0135,POL00018,South,LA,19742,33.25209,-89.15726,HZ-S-02,Residential,WOOD,2002,5,2392381,1044073,192988,3629442
LOC000171,ACC0159,POL00327,Central,IL,97392,36.96848,-93.15986,HZ-C-02,Hospitality,CONCRETE,1952,1,385078,336732,9585,731395
LOC000172,ACC0005,POL00258,East,VA,98346,39.77754,-75.24983,HZ-E-10,Hospitality,MASONRY,1963,4,149706,55077,555134,759917
LOC000173,ACC0021,POL00192,East,NJ,63218,40.52172,-77.12873,HZ-E-13,Hospitality,MASONRY,1978,10,905021,1124058,264679,2293758
LOC000174,ACC0015,POL00327,West,CA,11238,38.48445,-120.60547,HZ-W-16,Commercial,WOOD,2013,14,2841966,86447,98042,3026455
LOC000175,ACC0122,POL00139,West,OR,16102,46.70644,-121.9321,HZ-W-19,Residential,STEEL,2019,19,2473374,219988,553815,3247177
LOC000176,ACC0020,POL00154,West,CA,31292,47.38351,-118.71668,HZ-W-13,Commercial,CONCRETE,2019,11,3995528,679522,16418,4691468
LOC000177,ACC0112,POL00119,East,NC,19963,39.96365,-76.57898,HZ-E-04,Industrial,CONCRETE,1991,1,686995,184474,525119,1396588
LOC000178,ACC0175,POL00300,East,VA,96595,38.4243,-76.37201,HZ-E-06,Hospitality,WOOD,1987,8,2157740,498440,373095,3029275
LOC000179,ACC0082,POL00185,West,CA,23965,43.38683,-118.29489,HZ-W-13,Residential,WOOD,1989,15,1223956,343424,398458,1965838
LOC000180,ACC0132,POL00209,South,TX,23538,26.68653,-91.02313,HZ-S-18,Residential,WOOD,1995,18,528789,297887,91537,918213
LOC000181,ACC0144,POL00125,North,PA,84967,40.0617,-75.8619,HZ-N-03,Commercial,CONCRETE,1971,5,3390174,700379,403951,4494504
LOC000182,ACC0124,POL00040,South,TX,57333,26.50487,-94.48076,HZ-S-10,Industrial,MASONRY,2013,20,2168311,326047,66340,2560698
LOC000183,ACC0098,POL00169,East,VA,67700,34.05414,-76.23016,HZ-E-20,Industrial,CONCRETE,1967,10,548674,304142,319457,1172273
LOC000184,ACC0075,POL00325,South,LA,74357,26.59874,-92.03521,HZ-S-11,Commercial,STEEL,1998,9,942432,1024556,329445,2296433
LOC000185,ACC0175,POL00282,West,OR,13527,35.1968,-115.02462,HZ-W-06,Hospitality,MASONRY,2006,10,1630986,258840,591240,2481066
LOC000186,ACC0065,POL00338,Central,IL,30203,39.49373,-90.49996,HZ-C-08,Hospitality,CONCRETE,1959,15,3534990,878032,705668,5118690
