HazardZoneID,Region,WindSpeed_1in100_mph,FloodDepth_1in100_m,PGA_1in475_g,WildfireScore_0_100,HailScore_0_100,CompositeHazardScore,HazardBand
HZ-E-11,East,89,0.73,0.068,57,15,32.8,Severe
HZ-E-12,East,105,3.1,0.319,19,47,49.1,Moderate
HZ-E-13,East,126,0.44,0.043,53,35,39.1,Severe
HZ-E-14,East,131,0.77,0.036,51,64,45.2,Severe
HZ-E-15,East,144,2.57,0.173,7,36,45.5,High
HZ-E-16,East,113,4.45,0.314,13,16,50.4,Moderate
HZ-E-17,East,149,1.35,0.156,24,12,40.3,Moderate
HZ-E-18,East,151,1.44,0.258,15,27,43.9,Severe
HZ-E-19,East,72,2.8,0.219,26,28,38.6,High
HZ-E-20,East,94,2.31,0.344,8,36,40.5,High
HZ-W-01,West,91,0.23,0.226,44,21,33,Severe
HZ-W-02,West,125,1.52,0.254,89,34,55.8,Low
HZ-W-03,West,112,2.48,0.137,84,5,49.9,Low
HZ-W-04,West,108,1.71,0.772,53,29,58.1,Low
HZ-W-05,West,104,3.14,0.305,70,59,60.8,Severe
HZ-W-06,West,122,3.18,0.139,49,51,54.5,High
HZ-W-07,West,140,0.87,0.261,15,63,45,Severe
HZ-W-08,West,155,0.38,0.576,45,60,58.2,Low
HZ-W-09,West,72,3.65,0.691,18,20,50.7,Low
HZ-W-10,West,92,1.68,0.156,35,54,41.1,Low
HZ-W-11,West,79,0.04,0.041,48,60,32.5,Low
HZ-W-12,West,89,2.62,0.822,63,45,64.7,High
HZ-W-13,West,155,0.48,0.13,95,13,51.1,Moderate
HZ-W-14,West,80,0.84,0.619,16,5,35.2,Severe
HZ-W-15,West,99,0.95,0.618,54,25,49.3,Moderate
HZ-W-16,West,130,3.68,0.611,68,43,71.7,Moderate
HZ-W-17,West,130,1.3,0.584,12,33,47.8,Moderate
HZ-W-18,West,134,0.03,0.174,30,21,35,Moderate
HZ-W-19,West,139,2.59,0.185,20,49,49.6,Low
HZ-W-20,West,94,0.84,0.294,34,15,34.9,Severe
HZ-C-01,Central,95,1.84,0.125,57,69,48.2,High
HZ-C-02,Central,68,0.94,0.294,35,72,39.9,Low
HZ-C-03,Central,96,1.96,0.249,41,25,42,Low
HZ-C-04,Central,58,0.14,0.14,12,84,28.3,Severe
HZ-C-05,Central,60,1.48,0.318,62,6,37,Low
HZ-C-06,Central,75,1.29,0.323,51,94,49.7,Low
HZ-C-07,Central,91,0.58,0.299,62,50,44.2,Severe
HZ-C-08,Central,78,1.1,0.274,45,74,44,Moderate
HZ-C-09,Central,69,1.29,0.044,50,57,36.4,Severe
HZ-C-10,Central,84,0.71,0.285,56,64,44.2,Severe
HZ-C-11,Central,83,0.34,0.266,54,58,40.7,Low
HZ-C-12,Central,110,0.31,0.131,24,56,35.4,High
HZ-C-13,Central,55,0.96,0.292,27,24,29,Moderate
HZ-C-14,Central,68,0.21,0.155,24,39,26.2,High
HZ-C-15,Central,67,0.05,0.156,43,75,34.5,High
HZ-C-16,Central,69,0.42,0.224,68,60,40.9,Severe
HZ-C-17,Central,109,0.35,0.34,12,50,37,Low
HZ-C-18,Central,59,2.1,0.256,42,23,36.7,Moderate
HZ-C-19,Central,88,2.08,0.287,58,67,51.8,Low
HZ-C-20,Central,74,1.39,0.138,44,92,44,Severe
