PolicyID,UnderwriterID,PolicyType,PolicyLimit_USD,Deductible_USD,AttachmentPoint_USD,ParticipationShare,LimitBasis,PolicyStatus,TIV,Number of Stories
POL00155,UW001,Commercial Package,25000000,50000,500000,0.8,Occurrence,Active,3936760,5
POL00156,UW001,Property,5000000,25000,100000,0.8,Occurrence,Active,3147899,5
POL00157,UW011,Industrial,1000000,10000,100000,1,Aggregate,Active,1416238,13
POL00158,UW006,Industrial,10000000,100000,500000,0.8,Aggregate,Active,4223069,4
POL00159,UW008,Commercial Package,5000000,10000,0,1,Aggregate,Active,3389374,2
POL00160,UW003,Commercial Package,25000000,250000,0,1,Aggregate,Review,4308999,7
POL00161,UW002,Industrial,5000000,25000,100000,0.75,Aggregate,Active,3796012,10
POL00162,UW005,Property,10000000,25000,0,0.5,Occurrence,Active,3763652,14
POL00163,UW003,Commercial Package,10000000,250000,500000,0.75,Aggregate,Active,4227645,18
POL00164,UW005,Industrial,1000000,10000,0,0.75,Aggregate,Active,4224360,13
POL00165,UW002,Property,2500000,100000,500000,0.75,Aggregate,Active,1524498,3
POL00166,UW010,Industrial,25000000,50000,250000,0.9,Aggregate,Active,3340308,4
POL00167,UW010,Property,25000000,25000,250000,1,Occurrence,Active,3610294,10
POL00168,UW009,Commercial Package,10000000,100000,250000,0.8,Aggregate,Review,3857044,13
POL00169,UW002,Property,1000000,250000,250000,0.8,Occurrence,Active,3255985,20
POL00170,UW012,Industrial,2500000,100000,0,0.75,Aggregate,Review,2620922,7
POL00171,UW005,Property,10000000,100000,250000,1,Occurrence,Active,1592388,11
POL00172,UW001,Commercial Package,25000000,100000,250000,0.5,Aggregate,Review,3139825,8
POL00173,UW006,Commercial Package,2500000,100000,0,0.9,Occurrence,Active,3782707,2
POL00175,UW010,Property,2500000,100000,500000,0.9,Aggregate,Review,1808833,5
POL00176,UW006,Property,2500000,50000,100000,0.75,Aggregate,Review,2958533,8
POL00177,UW012,Property,1000000,10000,0,0.5,Occurrence,Review,3553517,16
POL00178,UW001,Commercial Package,10000000,10000,0,0.75,Occurrence,Active,3105981,7
POL00179,UW011,Industrial,2500000,50000,250000,0.8,Occurrence,Active,4699766,19
POL00181,UW001,Industrial,2500000,50000,0,0.8,Occurrence,Active,3822425,8
POL00182,UW007,Commercial Package,25000000,10000,100000,0.75,Occurrence,Active,3052730,7
POL00183,UW010,Commercial Package,25000000,50000,0,1,Occurrence,Active,1982782,19
POL00184,UW011,Industrial,10000000,250000,100000,0.8,Occurrence,Review,2013869,15
POL00185,UW007,Commercial Package,25000000,25000,0,0.8,Occurrence,Review,1525795,5
POL00186,UW005,Industrial,10000000,50000,250000,1,Aggregate,Review,4196754,16
POL00187,UW004,Commercial Package,2500000,50000,100000,0.8,Occurrence,Active,4612797,18
POL00188,UW003,Property,1000000,10000,0,0.5,Aggregate,Active,3745685,4
POL00189,UW012,Commercial Package,2500000,10000,250000,0.8,Occurrence,Review,1262102,9
POL00191,UW012,Property,10000000,100000,250000,0.5,Aggregate,Active,3506001,20
POL00192,UW006,Property,5000000,25000,100000,0.9,Occurrence,Active,2293758,10
POL00193,UW008,Industrial,5000000,100000,500000,0.75,Aggregate,Active,1890534,15
POL00194,UW011,Commercial Package,10000000,25000,500000,0.8,Occurrence,Active,1366276,3
POL00195,UW008,Commercial Package,2500000,50000,0,0.9,Occurrence,Active,1877137,20
POL00196,UW005,Property,2500000,25000,500000,1,Occurrence,Review,1325423,15
POL00197,UW010,Commercial Package,1000000,10000,250000,0.8,Aggregate,Active,4634981,12
POL00198,UW004,Property,1000000,100000,100000,1,Aggregate,Active,3431584,14
POL00199,UW007,Industrial,25000000,100000,100000,1,Occurrence,Review,4094704,2
POL00200,UW001,Commercial Package,25000000,250000,500000,0.8,Aggregate,Active,4559783,9
POL00201,UW007,Commercial Package,10000000,250000,500000,0.5,Occurrence,Active,3241194,12
POL00202,UW005,Industrial,25000000,25000,250000,0.9,Occurrence,Active,1075827,2
POL00203,UW001,Industrial,25000000,50000,250000,0.9,Occurrence,Active,1443362,3
POL00204,UW001,Commercial Package,2500000,100000,500000,0.75,Occurrence,Active,4977795,14
POL00206,UW001,Industrial,5000000,250000,500000,1,Aggregate,Active,5065945,17
POL00207,UW002,Property,10000000,250000,250000,0.75,Aggregate,Active,2374809,13
POL00208,UW011,Commercial Package,2500000,250000,0,0.75,Occurrence,Active,2981478,4
POL00209,UW003,Industrial,2500000,100000,0,0.5,Aggregate,Active,3026543,10
POL00210,UW007,Property,5000000,50000,100000,0.9,Occurrence,Active,2184659,9
POL00211,UW002,Property,1000000,50000,0,0.8,Occurrence,Active,4810977,20
POL00212,UW002,Commercial Package,2500000,10000,100000,0.8,Aggregate,Active,4281154,19
POL00213,UW008,Industrial,25000000,250000,0,0.9,Aggregate,Active,3796344,10
POL00214,UW007,Property,5000000,10000,100000,0.8,Aggregate,Active,1239741,6
POL00215,UW003,Commercial Package,25000000,10000,100000,0.5,Occurrence,Active,3154677,10
POL00216,UW007,Commercial Package,10000000,50000,250000,0.5,Occurrence,Review,2220176,2
POL00217,UW010,Industrial,2500000,25000,500000,0.75,Occurrence,Active,962549,4
POL00218,UW006,Industrial,10000000,250000,500000,0.9,Aggregate,Active,3186372,18
POL00219,UW001,Industrial,1000000,10000,100000,0.9,Aggregate,Active,2992964,3
POL00220,UW006,Commercial Package,5000000,50000,0,0.9,Occurrence,Active,2792709,9
POL00222,UW010,Property,1000000,250000,0,1,Aggregate,Review,1826222,4
POL00223,UW010,Property,25000000,250000,0,0.8,Aggregate,Active,2086822,1
POL00224,UW001,Property,5000000,250000,250000,0.9,Occurrence,Active,1339330,12
POL00225,UW005,Commercial Package,2500000,50000,100000,0.9,Aggregate,Active,1408488,13
POL00226,UW005,Industrial,25000000,50000,500000,0.5,Aggregate,Review,4234731,10
POL00227,UW003,Industrial,1000000,10000,250000,0.8,Occurrence,Active,2801384,16
POL00228,UW006,Property,25000000,250000,0,1,Occurrence,Active,4475679,19
POL00229,UW010,Property,5000000,50000,100000,0.5,Occurrence,Active,2868127,13
POL00230,UW012,Industrial,1000000,50000,0,0.8,Aggregate,Active,1616811,14
POL00231,UW007,Property,1000000,100000,250000,0.5,Aggregate,Active,2616688,9
POL00232,UW010,Property,1000000,25000,0,0.5,Occurrence,Review,4650638,9
POL00233,UW009,Property,1000000,100000,500000,0.8,Aggregate,Active,1919046,7
POL00234,UW006,Property,25000000,250000,0,0.75,Occurrence,Active,2726874,19
POL00235,UW003,Industrial,1000000,100000,100000,0.75,Occurrence,Review,5306433,7
POL00236,UW008,Industrial,1000000,250000,100000,0.8,Occurrence,Active,1233933,5
POL00237,UW004,Industrial,10000000,25000,500000,1,Aggregate,Active,3691297,10
POL00238,UW010,Commercial Package,2500000,100000,500000,1,Aggregate,Active,3368406,8
POL00239,UW011,Industrial,25000000,10000,250000,0.9,Aggregate,Active,4088152,6
POL00241,UW012,Commercial Package,1000000,100000,100000,1,Occurrence,Active,4735928,4
POL00242,UW012,Property,25000000,10000,100000,0.75,Occurrence,Active,2973117,9
POL00243,UW004,Commercial Package,1000000,10000,100000,0.9,Occurrence,Active,2443500,5
POL00244,UW002,Commercial Package,2500000,10000,500000,0.5,Occurrence,Review,3828457,19
POL00245,UW006,Commercial Package,2500000,25000,250000,0.5,Aggregate,Active,2493762,7
POL00246,UW007,Commercial Package,10000000,25000,100000,0.75,Occurrence,Active,2044153,3
POL00247,UW001,Commercial Package,10000000,100000,500000,0.8,Occurrence,Review,3613841,5
POL00248,UW012,Commercial Package,10000000,25000,0,0.5,Aggregate,Active,4413589,12
POL00249,UW005,Commercial Package,10000000,10000,100000,0.8,Occurrence,Review,1297055,15
POL00250,UW010,Commercial Package,1000000,100000,0,1,Aggregate,Active,3462367,3
POL00251,UW008,Commercial Package,2500000,100000,250000,0.75,Aggregate,Active,3548758,12
POL00252,UW001,Property,10000000,25000,100000,0.9,Aggregate,Review,2502074,15
POL00253,UW002,Commercial Package,2500000,250000,100000,1,Aggregate,Active,3010055,1
POL00254,UW012,Commercial Package,1000000,50000,250000,1,Occurrence,Active,3451291,1
POL00255,UW005,Property,25000000,10000,250000,0.75,Occurrence,Review,2094500,7
POL00256,UW006,Industrial,25000000,10000,0,0.75,Aggregate,Active,1839576,16
POL00257,UW002,Industrial,1000000,100000,100000,0.75,Aggregate,Review,5049506,20
POL00258,UW011,Commercial Package,5000000,50000,100000,1,Aggregate,Active,3750241,3
POL00260,UW004,Commercial Package,10000000,100000,100000,1,Occurrence,Active,2226760,7
POL00262,UW008,Property,5000000,100000,250000,0.75,Aggregate,Active,2680423,1
POL00263,UW004,Commercial Package,1000000,10000,100000,1,Occurrence,Active,770398,9
POL00264,UW002,Industrial,10000000,100000,0,1,Aggregate,Active,3130566,18
POL00265,UW002,Property,2500000,25000,250000,0.75,Aggregate,Active,2729931,9
POL00266,UW011,Industrial,25000000,100000,250000,0.5,Aggregate,Active,2362001,13
POL00267,UW002,Commercial Package,1000000,50000,0,0.75,Occurrence,Active,1822663,11
POL00268,UW011,Industrial,10000000,50000,100000,1,Occurrence,Review,2052210,16
POL00269,UW002,Industrial,2500000,100000,0,0.8,Occurrence,Active,2378864,4
POL00270,UW008,Industrial,1000000,100000,250000,0.8,Occurrence,Active,2199016,2
POL00271,UW004,Property,1000000,250000,250000,0.5,Occurrence,Active,3730508,7
POL00272,UW004,Property,1000000,25000,100000,0.75,Aggregate,Review,3095967,12
POL00273,UW001,Property,1000000,100000,100000,0.75,Occurrence,Active,3763266,7
POL00274,UW003,Commercial Package,5000000,100000,0,0.75,Aggregate,Active,1004915,10
POL00275,UW011,Commercial Package,2500000,50000,100000,0.5,Occurrence,Active,3446618,14
POL00276,UW007,Property,2500000,25000,100000,0.5,Aggregate,Active,3753954,12
POL00277,UW008,Property,2500000,50000,250000,1,Occurrence,Review,1719163,8
POL00278,UW005,Commercial Package,10000000,25000,500000,1,Aggregate,Active,3615665,4
POL00279,UW007,Industrial,1000000,25000,250000,0.9,Aggregate,Active,3735037,8
POL00280,UW004,Industrial,25000000,10000,0,0.75,Occurrence,Review,2272073,13
POL00281,UW009,Property,10000000,250000,0,0.75,Occurrence,Active,4916143,8
POL00282,UW004,Industrial,2500000,10000,0,1,Occurrence,Active,2886095,6
POL00284,UW005,Commercial Package,25000000,250000,250000,0.5,Occurrence,Active,1521368,1
POL00286,UW003,Property,1000000,100000,100000,0.9,Occurrence,Active,4925145,5
POL00287,UW012,Industrial,25000000,100000,500000,0.5,Occurrence,Active,2580623,9
POL00288,UW001,Property,10000000,25000,250000,0.8,Occurrence,Active,2847717,8
POL00289,UW003,Industrial,1000000,10000,250000,0.5,Occurrence,Active,2913998,20
POL00290,UW009,Industrial,2500000,100000,500000,0.5,Aggregate,Active,2944350,6
POL00291,UW006,Commercial Package,25000000,10000,250000,0.75,Occurrence,Active,1791052,19
POL00292,UW009,Property,5000000,50000,0,0.75,Aggregate,Active,3751598,10
POL00293,UW003,Commercial Package,10000000,250000,100000,0.5,Occurrence,Active,4166089,17
POL00294,UW008,Property,10000000,100000,500000,0.5,Occurrence,Active,2330452,19
POL00296,UW006,Industrial,1000000,50000,500000,0.75,Aggregate,Active,4542691,2
POL00297,UW007,Commercial Package,5000000,250000,100000,0.8,Occurrence,Active,3466293,19
POL00298,UW006,Commercial Package,10000000,25000,100000,0.8,Occurrence,Active,3342074,9
POL00299,UW012,Property,5000000,25000,500000,1,Occurrence,Review,1123777,16
POL00300,UW007,Industrial,1000000,100000,100000,0.75,Aggregate,Active,3029275,8
POL00301,UW003,Property,1000000,250000,100000,1,Occurrence,Active,1583721,20
POL00302,UW009,Property,1000000,10000,250000,0.9,Occurrence,Active,2896330,1
POL00303,UW008,Property,5000000,25000,500000,1,Occurrence,Review,4063853,7
POL00304,UW005,Property,2500000,250000,500000,0.5,Occurrence,Active,5387733,19
POL00305,UW012,Property,2500000,100000,250000,1,Aggregate,Review,1125253,5
POL00306,UW007,Industrial,5000000,25000,100000,0.5,Occurrence,Active,1753500,13
POL00307,UW005,Commercial Package,25000000,100000,0,0.75,Occurrence,Review,3167811,5
POL00308,UW003,Commercial Package,1000000,100000,500000,0.8,Aggregate,Active,3638248,5
POL00309,UW012,Industrial,1000000,25000,100000,0.9,Aggregate,Active,817362,10
POL00310,UW012,Property,25000000,25000,100000,0.8,Occurrence,Review,4188355,7
POL00311,UW005,Industrial,10000000,50000,250000,0.9,Occurrence,Active,3299659,13
POL00312,UW005,Commercial Package,1000000,50000,100000,0.75,Occurrence,Review,1732947,1
POL00313,UW005,Industrial,25000000,10000,0,0.8,Occurrence,Active,4078560,16
POL00314,UW006,Property,2500000,25000,100000,0.75,Aggregate,Active,4567062,4
POL00315,UW002,Property,1000000,100000,100000,0.75,Occurrence,Review,3437246,2
POL00316,UW010,Property,25000000,100000,0,0.5,Occurrence,Active,1059094,12
POL00317,UW007,Industrial,2500000,100000,100000,0.75,Aggregate,Active,1833262,10
POL00318,UW002,Industrial,1000000,100000,0,0.5,Aggregate,Active,4075776,4
POL00319,UW009,Industrial,10000000,10000,500000,0.9,Occurrence,Active,2453220,16
POL00320,UW010,Property,2500000,25000,0,0.5,Aggregate,Review,4016522,11
POL00321,UW004,Industrial,1000000,250000,0,0.75,Aggregate,Active,2300123,10
POL00323,UW010,Property,10000000,100000,250000,0.8,Aggregate,Active,2910636,17
POL00324,UW010,Commercial Package,25000000,25000,250000,0.9,Occurrence,Active,5027607,2
POL00325,UW002,Industrial,1000000,50000,0,1,Aggregate,Active,2296433,9
POL00326,UW007,Industrial,25000000,50000,100000,0.75,Aggregate,Active,1951073,13
POL00327,UW004,Property,1000000,250000,500000,0.75,Occurrence,Active,731395,1
POL00329,UW002,Property,25000000,250000,100000,1,Aggregate,Active,1506352,9
POL00330,UW002,Commercial Package,5000000,50000,0,0.9,Occurrence,Active,2316989,15
POL00331,UW012,Property,2500000,250000,500000,1,Aggregate,Active,2174903,9
POL00332,UW007,Commercial Package,5000000,25000,500000,0.9,Occurrence,Active,3852807,4
POL00333,UW001,Property,1000000,25000,0,0.9,Occurrence,Active,1843024,7
POL00334,UW001,Commercial Package,5000000,100000,0,0.9,Occurrence,Review,4410608,6
POL00335,UW003,Property,1000000,50000,0,0.75,Aggregate,Active,2812904,15
POL00336,UW007,Industrial,5000000,10000,100000,0.9,Occurrence,Review,1680574,12
POL00338,UW010,Property,10000000,100000,100000,1,Aggregate,Active,5118690,15
POL00339,UW009,Property,1000000,10000,250000,0.75,Aggregate,Active,2375694,11
POL00340,UW011,Industrial,5000000,50000,500000,0.75,Occurrence,Review,4617602,5
POL00342,UW010,Industrial,1000000,25000,250000,0.75,Occurrence,Active,2826689,11
POL00343,UW010,Property,1000000,50000,0,0.9,Aggregate,Active,2430217,14
POL00344,UW001,Industrial,5000000,50000,100000,1,Aggregate,Active,2344350,3
POL00345,UW010,Industrial,25000000,25000,500000,0.9,Aggregate,Active,2662486,20
POL00346,UW002,Industrial,25000000,250000,500000,1,Aggregate,Active,4225804,1
POL00347,UW011,Industrial,25000000,50000,500000,1,Occurrence,Active,3810088,12
POL00348,UW001,Industrial,5000000,250000,250000,0.5,Aggregate,Active,4626664,12
POL00349,UW004,Commercial Package,2500000,25000,100000,0.5,Occurrence,Review,2906863,4
