"policy_id","region","total_policy_tiv","location_count"
"POL00349","South","2906863","1"
"POL00044","South","2902693","1"
"POL00331","East","2806366","1"
"POL00300","Central","2802464","1"
"POL00036","North","2767860","1"
"POL00050","West","2713327","1"
"POL00211","Central","2702085","1"
"POL00106","West","2694615","1"
"POL00075","North","2685991","1"
"POL00192","Central","2684712","1"
"POL00141","Central","2664052","1"
"POL00345","East","2662486","1"
"POL00116","Central","2645669","1"
"POL00210","Central","2639110","1"
"POL00238","South","2638822","1"
"POL00029","East","2636676","1"
"POL00067","Central","2632065","1"
"POL00011","West","2603460","1"
"POL00244","Central","2584639","1"
"POL00048","South","2582488","1"
"POL00040","South","2560698","1"
"POL00143","East","2545489","2"
"POL00196","South","2535543","1"
"POL00334","East","2532157","1"
"POL00217","South","2517847","1"
"POL00136","Central","2506320","1"
"POL00252","Central","2502074","1"
"POL00076","East","2499139","1"
"POL00069","Central","2498718","1"
"POL00245","East","2493762","1"
"POL00281","Central","2464346","1"
"POL00185","Central","2461721","1"
"POL00226","North","2453801","1"
"POL00319","West","2453220","1"
"POL00333","West","2410915","1"
"POL00197","Central","2406560","1"
"POL00232","North","2397805","1"
"POL00146","South","2396880","1"
"POL00344","East","2344350","1"
"POL00028","East","2330789","1"
"POL00129","South","2309013","1"
"POL00008","South","2308907","1"
"POL00192","East","2293758","1"
"POL00078","East","2287592","1"
"POL00140","South","2284864","1"
"POL00070","Central","2282891","1"
"POL00280","Central","2272073","1"
"POL00203","East","2271107","1"
"POL00098","West","2254631","1"
"POL00305","East","2253048","1"
"POL00260","East","2226760","1"
"POL00173","South","2208844","1"
"POL00270","North","2199016","1"
"POL00326","North","2185960","1"
"POL00109","Central","2166413","1"
"POL00025","East","2129368","1"
"POL00255","East","2094500","1"
"POL00039","Central","2067219","1"
"POL00326","South","2060004","1"
"POL00253","Central","2023082","1"
"POL00184","West","2013869","1"
"POL00244","North","1973045","1"
"POL00050","South","1962535","1"
"POL00348","East","1952310","1"
"POL00233","East","1919046","1"
"POL00193","East","1890534","1"
"POL00213","West","1880835","1"
"POL00012","Central","1860019","1"
"POL00256","Central","1839576","1"
"POL00166","East","1834961","1"
"POL00057","East","1805939","1"
"POL00308","South","1779417","1"
"POL00173","North","1770884","1"
"POL00038","North","1744023","1"
"POL00277","Central","1719163","1"
"POL00012","North","1706138","1"
"POL00088","East","1689847","1"
"POL00212","North","1680901","1"
"POL00111","Central","1679420","1"
"POL00230","South","1616811","1"
"POL00347","North","1595419","1"
"POL00171","East","1592388","1"
"POL00149","Central","1557907","1"
"POL00165","East","1524498","1"
"POL00031","North","1518000","1"
"POL00058","North","1514620","1"
"POL00086","Central","1512407","1"
"POL00030","South","1504835","1"
"POL00271","North","1471078","1"
"POL00148","East","1460332","1"
"POL00123","South","1431104","1"
"POL00323","Central","1425168","1"
"POL00119","East","1396588","1"
"POL00132","Central","1391754","1"
"POL00049","South","1370303","1"
"POL00186","Central","1367569","1"
"POL00039","North","1326936","1"
"POL00085","North","1294404","1"
"POL00071","North","1244243","1"
"POL00236","South","1233933","1"
"POL00078","South","1180062","1"
"POL00016","East","1082120","1"
"POL00141","North","1075916","1"
"POL00006","West","1035890","1"
"POL00085","East","1001103","1"
"POL00284","East","997431","1"
"POL00029","West","965986","1"
"POL00068","North","941595","1"
"POL00263","West","770398","1"
"POL00335","South","755435","1"
"POL00026","East","723432","1"
"POL00206","West","719150","1"
"POL00099","East","617163","1"
"POL00214","North","479465","1"
