"policy_id","total_policy_tiv","policy_limit_usd","zone_location_count","hazard_band","zone_tiv","hazard_zone_id","hazard_zone_share_of_policy_tiv","zone_tiv_to_limit_ratio"
"POL00068","10792991","1000000","1","Severe","4521299","HZ-W-05","41.8910661558042622290000","4.5212990000000000"
"POL00227","10623926","1000000","1","Moderate","4518299","HZ-E-16","42.5294660373199135610000","4.5182990000000000"
"POL00011","12929621","1000000","1","Severe","4509854","HZ-N-19","34.8800169780691947580000","4.5098540000000000"
"POL00304","9884979","2500000","1","Low","4497246","HZ-C-19","45.4957567436410335320000","1.7988984000000000"
"POL00060","10288721","1000000","1","Moderate","4490530","HZ-E-01","43.6451722230586289590000","4.4905300000000000"
"POL00069","6980945","1000000","1","Moderate","4482227","HZ-C-13","64.2065938064259208460000","4.4822270000000000"
"POL00137","16212523","2500000","1","Low","4470125","HZ-W-02","27.5720503218407153530000","1.7880500000000000"
"POL00263","5226685","1000000","1","High","4456287","HZ-C-15","85.2602940487134770890000","4.4562870000000000"
"POL00170","8809595","2500000","1","High","4424327","HZ-C-15","50.2216844247664052660000","1.7697308000000000"
"POL00118","10626366","2500000","1","Moderate","4403156","HZ-S-08","41.4361410100122657170000","1.7612624000000000"
"POL00082","11628334","1000000","1","High","4316584","HZ-E-20","37.1212591588786493400000","4.3165840000000000"
"POL00074","10619621","1000000","1","Severe","4310254","HZ-C-10","40.5876443236533582510000","4.3102540000000000"
"POL00225","5716289","2500000","1","Moderate","4307801","HZ-E-12","75.3600981335968142970000","1.7231204000000000"
"POL00056","10445562","1000000","1","Low","4285753","HZ-C-02","41.0294151717255615350000","4.2857530000000000"
"POL00212","12395713","2500000","1","High","4281154","HZ-S-17","34.5373759460226289520000","1.7124616000000000"
"POL00153","12211766","2500000","1","Moderate","4225941","HZ-N-04","34.6054862171450058900000","1.6903764000000000"
"POL00164","8956769","1000000","1","Moderate","4224360","HZ-C-13","47.1638824223333213130000","4.2243600000000000"
"POL00029","14909281","2500000","1","Severe","4222112","HZ-S-16","28.3186828392328241720000","1.6888448000000000"
"POL00165","9824804","2500000","1","Severe","4151843","HZ-C-20","42.2587870455227401990000","1.6607372000000000"
"POL00165","9824804","2500000","1","Moderate","4148463","HZ-S-18","42.2243843235956666410000","1.6593852000000000"
"POL00320","8145169","2500000","1","Moderate","4128647","HZ-E-10","50.6882914277162327760000","1.6514588000000000"
"POL00041","11012993","2500000","1","Moderate","4078059","HZ-E-08","37.0295250346567913010000","1.6312236000000000"
"POL00318","7008622","1000000","1","Moderate","4075776","HZ-E-03","58.1537426330026073600000","4.0757760000000000"
"POL00054","14988151","2500000","1","Severe","4064987","HZ-W-01","27.1213373817757774120000","1.6259948000000000"
"POL00301","7900142","1000000","1","Low","4021909","HZ-C-03","50.9093254273151039560000","4.0219090000000000"
"POL00320","8145169","2500000","1","High","4016522","HZ-E-20","49.3117085722837672240000","1.6066088000000000"
"POL00013","13843607","1000000","1","Severe","4005181","HZ-S-10","28.9316288738910314340000","4.0051810000000000"
"POL00325","9755107","1000000","1","Moderate","3992818","HZ-N-06","40.9305402800809873230000","3.9928180000000000"
"POL00196","7839126","2500000","1","Low","3978160","HZ-C-17","50.7474940446167085460000","1.5912640000000000"
"POL00019","14694236","1000000","1","High","3962981","HZ-C-14","26.9696294519837574410000","3.9629810000000000"
"POL00066","12148687","1000000","1","High","3951648","HZ-S-17","32.5273669492020001830000","3.9516480000000000"
"POL00074","10619621","1000000","1","High","3935270","HZ-S-17","37.0565955225709090750000","3.9352700000000000"
"POL00173","14291861","2500000","1","Moderate","3915028","HZ-W-13","27.3934094377212316860000","1.5660112000000000"
"POL00079","10907762","1000000","1","Moderate","3903222","HZ-E-16","35.7838940746965326160000","3.9032220000000000"
"POL00177","7449378","1000000","1","Moderate","3895861","HZ-S-18","52.2978025816383596050000","3.8958610000000000"
"POL00041","11012993","2500000","1","Low","3892094","HZ-C-19","35.3409286648960913710000","1.5568376000000000"
"POL00312","14307679","1000000","1","Moderate","3892050","HZ-E-01","27.2025253012735329050000","3.8920500000000000"
"POL00175","9314024","2500000","1","Moderate","3888153","HZ-E-16","41.7451468881763671640000","1.5552612000000000"
"POL00181","7876855","2500000","1","Moderate","3822425","HZ-W-18","48.5272992837877553920000","1.5289700000000000"
"POL00296","13735214","1000000","1","Severe","3814246","HZ-S-19","27.7698330728592943660000","3.8142460000000000"
"POL00024","11371861","1000000","1","Severe","3807124","HZ-E-05","33.4784605615562835320000","3.8071240000000000"
"POL00061","12721876","1000000","1","Severe","3803941","HZ-E-14","29.9007866449885221330000","3.8039410000000000"
"POL00127","13198934","1000000","1","Low","3794935","HZ-W-04","28.7518295038068983450000","3.7949350000000000"
"POL00145","14742294","2500000","1","Low","3785881","HZ-S-20","25.6804063193964250070000","1.5143524000000000"
"POL00173","14291861","2500000","1","High","3782707","HZ-E-20","26.4675608026134595070000","1.5130828000000000"
"POL00273","8455510","1000000","1","Severe","3763266","HZ-E-18","44.5066707980949700250000","3.7632660000000000"
"POL00188","3745685","1000000","1","Severe","3745685","HZ-E-02","100.0000000000000000000000","3.7456850000000000"
"POL00279","3735037","1000000","1","Low","3735037","HZ-W-11","100.0000000000000000000000","3.7350370000000000"
"POL00271","9245400","1000000","1","High","3730508","HZ-W-06","40.3498821035325675470000","3.7305080000000000"
"POL00342","9187401","1000000","1","Severe","3718837","HZ-S-14","40.4775735814731500240000","3.7188370000000000"
"POL00118","10626366","2500000","1","Severe","3649630","HZ-S-19","34.3450432631437689990000","1.4598520000000000"
"POL00175","9314024","2500000","1","Low","3617038","HZ-W-08","38.8343212343021662820000","1.4468152000000000"
"POL00230","7842262","1000000","1","High","3611295","HZ-E-20","46.0491501049059569800000","3.6112950000000000"
"POL00245","6101698","2500000","1","Moderate","3607936","HZ-E-12","59.1300323287058782650000","1.4431744000000000"
"POL00250","10027742","1000000","1","Severe","3573742","HZ-E-02","35.6385515303445182380000","3.5737420000000000"
"POL00127","13198934","1000000","1","High","3569191","HZ-N-09","27.0415095643329984070000","3.5691910000000000"
"POL00349","6463878","2500000","1","Severe","3557015","HZ-C-20","55.0291171955906346000000","1.4228060000000000"
"POL00177","7449378","1000000","1","High","3553517","HZ-S-17","47.7021974183616403950000","3.5535170000000000"
"POL00267","8771705","1000000","1","Low","3513317","HZ-S-20","40.0528403542982806650000","3.5133170000000000"
"POL00339","5881590","1000000","1","Moderate","3505896","HZ-N-16","59.6079631528209208730000","3.5058960000000000"
"POL00052","3503521","2500000","1","Moderate","3503521","HZ-S-07","100.0000000000000000000000","1.4014084000000000"
"POL00128","13739647","2500000","1","Severe","3486913","HZ-E-18","25.3784758807850012450000","1.3947652000000000"
"POL00250","10027742","1000000","1","Severe","3462367","HZ-E-05","34.5278827476813823090000","3.4623670000000000"
"POL00066","12148687","1000000","1","Low","3455364","HZ-N-20","28.4422835159058752600000","3.4553640000000000"
"POL00073","8253503","2500000","1","Severe","3454402","HZ-W-05","41.8537680303744967440000","1.3817608000000000"
"POL00254","6834574","1000000","1","Moderate","3451291","HZ-N-02","50.4975291803117502280000","3.4512910000000000"
"POL00114","5919023","1000000","1","Severe","3436806","HZ-N-11","58.0637378837689936330000","3.4368060000000000"
"POL00267","8771705","1000000","1","Severe","3435725","HZ-S-19","39.1682688827314644070000","3.4357250000000000"
"POL00198","12408748","1000000","1","Low","3431584","HZ-N-17","27.6545546738478370260000","3.4315840000000000"
"POL00198","12408748","1000000","1","Low","3394345","HZ-C-02","27.3544518754027400670000","3.3943450000000000"
"POL00254","6834574","1000000","1","Severe","3383283","HZ-S-14","49.5024708196882497720000","3.3832830000000000"
"POL00153","12211766","2500000","1","High","3382884","HZ-S-01","27.7018409949879485080000","1.3531536000000000"
"POL00227","10623926","1000000","1","Severe","3304243","HZ-S-10","31.1019015004434330590000","3.3042430000000000"
"POL00265","11508657","2500000","1","Severe","3285749","HZ-W-01","28.5502383119072885740000","1.3142996000000000"
"POL00169","9132181","1000000","1","Low","3255985","HZ-C-11","35.6539691887403458170000","3.2559850000000000"
"POL00002","3225425","2500000","1","Low","3225425","HZ-C-11","100.0000000000000000000000","1.2901700000000000"
"POL00108","5951013","2500000","1","Low","3198697","HZ-C-02","53.7504623162476707750000","1.2794788000000000"
"POL00286","8100236","1000000","1","Low","3175091","HZ-E-06","39.1975122700128736990000","3.1750910000000000"
"POL00164","8956769","1000000","1","High","3158896","HZ-S-06","35.2682535409811283510000","3.1588960000000000"
"POL00066","12148687","1000000","1","Low","3157263","HZ-E-06","25.9885121741962732270000","3.1572630000000000"
"POL00067","7505460","2500000","1","High","3147032","HZ-E-19","41.9299016982303549680000","1.2588128000000000"
"POL00056","10445562","1000000","1","Moderate","3119844","HZ-E-03","29.8676509698568636130000","3.1198440000000000"
"POL00043","8767885","1000000","1","Severe","3104823","HZ-N-18","35.4113107094812488990000","3.1048230000000000"
"POL00272","10012387","1000000","1","High","3095967","HZ-W-12","30.9213677018277459710000","3.0959670000000000"
"POL00087","5945740","1000000","1","High","3086461","HZ-S-17","51.9104602623054489430000","3.0864610000000000"
"POL00117","7614478","1000000","1","Severe","3077879","HZ-E-04","40.4214051179870767240000","3.0778790000000000"
"POL00043","8767885","1000000","1","Severe","3055685","HZ-E-11","34.8508790888566626960000","3.0556850000000000"
"POL00041","11012993","2500000","1","Moderate","3042840","HZ-E-16","27.6295463004471173280000","1.2171360000000000"
"POL00056","10445562","1000000","1","Severe","3039965","HZ-W-20","29.1029338584175748510000","3.0399650000000000"
"POL00300","10007421","1000000","1","Low","3029275","HZ-E-06","30.2702864204473859950000","3.0292750000000000"
"POL00209","9783420","2500000","1","Severe","3026543","HZ-E-18","30.9354295328218557520000","1.2106172000000000"
"POL00116","10547028","1000000","1","Low","3017196","HZ-W-03","28.6070730067275824050000","3.0171960000000000"
"POL00253","7036235","2500000","1","Severe","3010055","HZ-S-19","42.7793415086335234680000","1.2040220000000000"
"POL00020","4245671","1000000","1","Low","3003798","HZ-C-03","70.7496647761920318370000","3.0037980000000000"
"POL00219","2992964","1000000","1","Low","2992964","HZ-C-03","100.0000000000000000000000","2.9929640000000000"
"POL00250","10027742","1000000","1","Low","2991633","HZ-S-09","29.8335657219740994530000","2.9916330000000000"
"POL00270","10707826","1000000","1","Severe","2990242","HZ-W-20","27.9257619613916027400000","2.9902420000000000"
"POL00208","8487240","2500000","1","Moderate","2981478","HZ-N-06","35.1289465126472210050000","1.1925912000000000"
"POL00038","6859735","1000000","1","High","2958594","HZ-E-15","43.1298585149426326240000","2.9585940000000000"
"POL00176","2958533","2500000","1","Severe","2958533","HZ-C-20","100.0000000000000000000000","1.1834132000000000"
"POL00051","9627420","2500000","1","Low","2945274","HZ-S-09","30.5925575076188636210000","1.1781096000000000"
"POL00290","7977213","2500000","1","Severe","2944350","HZ-N-19","36.9095071173353400490000","1.1777400000000000"
"POL00318","7008622","1000000","1","Severe","2932846","HZ-E-05","41.8462573669973926400000","2.9328460000000000"
"POL00289","4207924","1000000","1","Severe","2913998","HZ-E-05","69.2502526186309448550000","2.9139980000000000"
"POL00349","6463878","2500000","1","Severe","2906863","HZ-S-10","44.9708828044093654000000","1.1627452000000000"
"POL00157","6262569","1000000","1","Moderate","2904036","HZ-C-08","46.3713214177759957610000","2.9040360000000000"
"POL00302","2896330","1000000","1","Moderate","2896330","HZ-W-13","100.0000000000000000000000","2.8963300000000000"
"POL00282","6843929","2500000","1","Moderate","2886095","HZ-S-12","42.1701481707364293230000","1.1544380000000000"
"POL00087","5945740","1000000","1","Moderate","2859279","HZ-W-16","48.0895397376945510570000","2.8592790000000000"
"POL00121","7680783","1000000","1","Moderate","2859240","HZ-E-16","37.2258922039588932530000","2.8592400000000000"
"POL00277","6462155","2500000","1","Moderate","2833236","HZ-S-05","43.8435165977912940810000","1.1332944000000000"
"POL00342","9187401","1000000","1","High","2826689","HZ-W-12","30.7670145234762257570000","2.8266890000000000"
"POL00335","8234374","1000000","1","Low","2812904","HZ-W-11","34.1605081333444412410000","2.8129040000000000"
"POL00300","10007421","1000000","1","Severe","2802464","HZ-C-20","28.0038583367283139180000","2.8024640000000000"
"POL00227","10623926","1000000","1","Low","2801384","HZ-S-20","26.3686324622366533800000","2.8013840000000000"
"POL00300","10007421","1000000","1","Moderate","2781013","HZ-W-16","27.7895074065535965760000","2.7810130000000000"
"POL00272","10012387","1000000","1","Moderate","2766746","HZ-E-08","27.6332307171107149570000","2.7667460000000000"
"POL00325","9755107","1000000","1","Moderate","2757745","HZ-E-03","28.2697565490568171110000","2.7577450000000000"
"POL00211","7513062","1000000","1","Severe","2702085","HZ-C-07","35.9651630719938155710000","2.7020850000000000"
"POL00116","10547028","1000000","1","Severe","2645669","HZ-C-20","25.0844977371824555690000","2.6456690000000000"
"POL00067","7505460","2500000","1","Severe","2632065","HZ-C-20","35.0686700082340056440000","1.0528260000000000"
"POL00170","8809595","2500000","1","High","2620922","HZ-N-14","29.7507660681336656230000","1.0483688000000000"
"POL00231","2616688","1000000","1","Moderate","2616688","HZ-S-13","100.0000000000000000000000","2.6166880000000000"
"POL00230","7842262","1000000","1","Low","2614156","HZ-C-03","33.3342089310456600400000","2.6141560000000000"
"POL00043","8767885","1000000","1","High","2607377","HZ-C-12","29.7378102016620884060000","2.6073770000000000"
"POL00321","9718636","1000000","1","Low","2605335","HZ-C-17","26.8076199170336248830000","2.6053350000000000"
"POL00016","3674634","1000000","1","Low","2592514","HZ-W-10","70.5516250053746849350000","2.5925140000000000"
"POL00196","7839126","2500000","1","Severe","2535543","HZ-S-19","32.3447154695561724610000","1.0142172000000000"
"POL00217","9731657","2500000","1","Severe","2517847","HZ-S-19","25.8727470563337774850000","1.0071388000000000"
"POL00069","6980945","1000000","1","Severe","2498718","HZ-C-04","35.7934061935740791540000","2.4987180000000000"
"POL00114","5919023","1000000","1","Moderate","2482217","HZ-S-08","41.9362621162310063670000","2.4822170000000000"
"POL00111","4152615","1000000","1","Moderate","2473195","HZ-N-06","59.5575318203108161970000","2.4731950000000000"
"POL00243","4508818","1000000","1","Low","2443500","HZ-C-05","54.1938042298447176180000","2.4435000000000000"
"POL00343","4699246","1000000","1","Low","2430217","HZ-N-17","51.7150410938265415350000","2.4302170000000000"
"POL00271","9245400","1000000","1","Moderate","2412083","HZ-S-07","26.0895472343003006900000","2.4120830000000000"
"POL00197","7917265","1000000","1","Severe","2406560","HZ-C-09","30.3963553070410046900000","2.4065600000000000"
"POL00339","5881590","1000000","1","Moderate","2375694","HZ-N-07","40.3920368471790791270000","2.3756940000000000"
"POL00117","7614478","1000000","1","Low","2341742","HZ-C-05","30.7538087312091518290000","2.3417420000000000"
"POL00301","7900142","1000000","1","High","2294512","HZ-S-17","29.0439336406864585470000","2.2945120000000000"
"POL00078","7516098","1000000","1","Severe","2287592","HZ-E-18","30.4358990529394374580000","2.2875920000000000"
"POL00078","7516098","1000000","1","Severe","2277245","HZ-W-14","30.2982345360584707650000","2.2772450000000000"
"POL00343","4699246","1000000","1","Moderate","2269029","HZ-N-07","48.2849589061734584650000","2.2690290000000000"
"POL00117","7614478","1000000","1","Moderate","2194857","HZ-C-13","28.8247861508037714470000","2.1948570000000000"
"POL00038","6859735","1000000","1","High","2157118","HZ-S-06","31.4460835586214336270000","2.1571180000000000"
"POL00243","4508818","1000000","1","Moderate","2065318","HZ-E-01","45.8061957701552823820000","2.0653180000000000"
"POL00157","6262569","1000000","1","Moderate","1942295","HZ-W-13","31.0143489037805411800000","1.9422950000000000"
"POL00222","1826222","1000000","1","High","1826222","HZ-C-01","100.0000000000000000000000","1.8262220000000000"
"POL00038","6859735","1000000","1","Severe","1744023","HZ-N-19","25.4240579264359337500000","1.7440230000000000"
"POL00111","4152615","1000000","1","Severe","1679420","HZ-C-04","40.4424681796891838030000","1.6794200000000000"
"POL00289","4207924","1000000","1","Low","1293926","HZ-S-20","30.7497473813690551450000","1.2939260000000000"
"POL00020","4245671","1000000","1","Moderate","1241873","HZ-S-18","29.2503352238079681630000","1.2418730000000000"
"POL00016","3674634","1000000","1","Severe","1082120","HZ-E-04","29.4483749946253150650000","1.0821200000000000"
