"policy_id","policy_limit_usd","total_policy_tiv","location_count","severe_tiv","exposure_to_limit_ratio"
"POL00176","2500000","2958533","1","2958533","1.1834132000000000"
"POL00084","25000000","2909289","1","2909289","0.11637156000000000000"
"POL00302","1000000","2896330","1","0","2.8963300000000000"
"POL00120","25000000","2884417","1","0","0.11537668000000000000"
"POL00105","5000000","2837682","1","0","0.56753640000000000000"
"POL00055","25000000","2749389","1","0","0.10997556000000000000"
"POL00262","5000000","2680423","1","0","0.53608460000000000000"
"POL00231","1000000","2616688","1","0","2.6166880000000000"
"POL00319","10000000","2453220","1","2453220","0.24532200000000000000"
"POL00269","2500000","2378864","1","0","0.95154560000000000000"
"POL00207","10000000","2374809","1","0","0.23748090000000000000"
"POL00222","1000000","1826222","1","0","1.8262220000000000"
"POL00031","2500000","1518000","1","1518000","0.60720000000000000000"
"POL00086","10000000","1512407","1","1512407","0.15124070000000000000"
"POL00194","10000000","1366276","1","0","0.13662760000000000000"
"POL00224","5000000","1339330","1","0","0.26786600000000000000"
"POL00001","25000000","1276768","1","0","0.05107072000000000000"
"POL00099","5000000","1244723","2","617163","0.24894460000000000000"
"POL00316","25000000","1059094","1","0","0.04236376000000000000"
"POL00130","10000000","1014755","1","0","0.10147550000000000000"
"POL00309","1000000","817362","1","0","0.81736200000000000000"
